"tid";"k_sa";"k_su";"k_wd";"my_sa";"my_su";"my_wd";"quarter_hour";"sigma_sa";"sigma_su";"sigma_wd"
1;0.3816278278827667;0.35664743185043335;0.4198589622974396;0.05837275832891464;0.057590533047914505;0.066506527364254;33;0.03588718920946121;0.03323063254356384;0.042742770165205
2;0.5231281518936157;0.5415196418762207;0.5087335109710693;0.0719589814543724;0.0785757303237915;0.06675086170434952;52;0.04957180842757225;0.05667128413915634;0.04578958451747894
3;0.4615256786346435;0.4067801833152771;0.3869908750057221;0.07167915999889374;0.07158741354942322;0.06697095930576324;64;0.0474572516977787;0.04669030383229256;0.04154393821954727
4;0.47798922657966614;0.44981440901756287;0.41522687673568726;0.07579698413610457;0.08190703392028809;0.0762551799416542;73;0.05211961641907692;0.056589484214782715;0.05002686753869057
5;0.46520063281059265;0.48203378915786743;0.43755495548248285;0.07085170596837997;0.07470586895942688;0.061891667544841766;44;0.04747381433844566;0.049654990434646606;0.03990904986858368
6;0.23805585503578183;0.21173711121082303;0.2011410892009735;0.09107716381549835;0.09757868200540543;0.09793740510940552;90;0.054014503955841064;0.05610058829188347;0.056571636348962784
7;0.3861022889614106;0.331744521856308;0.31048160791397095;0.08808398991823196;0.10268878936767578;0.09956040233373642;83;0.056625984609127045;0.06440942734479904;0.06177302449941635
8;0.4940137565135956;0.5020045042037964;0.4319620728492737;0.07046033442020416;0.07515368610620499;0.062256041914224625;47;0.04722835496068001;0.05140126124024391;0.03988059610128403
9;0.4716602861881256;0.4830497205257416;0.4169914424419403;0.07726414501667023;0.08336830884218216;0.07799386978149414;74;0.05388358607888222;0.058289993554353714;0.05162002891302109
10;0.35629597306251526;0.3355640769004822;0.4288632273674011;0.05559726059436798;0.05456644296646118;0.06738346070051193;32;0.0327046699821949;0.030583634972572327;0.043563809245824814
11;0.49236699938774114;0.43359607458114624;0.43840545415878296;0.07139615714550018;0.06944894790649414;0.06613677740097046;37;0.04933524876832962;0.04539268836379051;0.04285257309675217
12;0.13490092754364014;0.168581023812294;0.08633942157030106;0.04348501190543175;0.043762437999248505;0.041473060846328735;12;0.02040347270667553;0.020651035010814667;0.01877465844154358
13;0.5056050419807434;0.5237343907356262;0.470708280801773;0.0711066871881485;0.07660114765167236;0.0636289045214653;50;0.04924117401242256;0.054073598235845566;0.04230844601988792
14;0.4613782465457916;0.4446820020675659;0.3968517780303955;0.07181821763515472;0.07144007086753845;0.06692653149366379;63;0.04765183106064797;0.04637565463781357;0.04156533256173134
15;0.2332276850938797;0.19586873054504397;0.3877213895320892;0.05019047856330872;0.04952142387628555;0.06880347430706024;29;0.026008594781160355;0.0247648935765028;0.04449956864118576
16;0.42596545815467834;0.3640438914299011;0.3417142927646637;0.0874398797750473;0.10261137038469316;0.09575526416301729;81;0.05983575060963631;0.06774918735027313;0.06032333150506019
17;0.11449313908815384;0.10966973006725313;0.11562417447566986;0.04238088428974152;0.04308575764298439;0.04140956699848175;18;0.01937917247414589;0.01929343119263649;0.018715331330895424
18;0.2571764588356018;0.22069886326789856;0.21886657178401947;0.09452207386493683;0.107813261449337;0.10478460788726808;88;0.05761069059371948;0.06137662008404732;0.06046847626566887
