"tid";"cp";"type";"v"
11467;0.28102269;Enercon E-70;15
11468;0.193049375;Enercon E-70;17
11469;0.122137796;Enercon E-44;20
11470;0.053063979;GE 1.85-82.5;22
11471;0.061232163;GE 2.5-103;20
11472;0;GE 1.6-82.5;31
11473;0.128998552;Enercon E-82;17
11474;0.058369337;Enercon E-101;22
11475;0.454797277;Enercon E-53;7
11476;0.068434282;Enercon E-82;21
11477;0;GE 1.6-82.5;0
11478;0;GE 2.5-103;31
11479;0.390409706;Enercon E-71;13
11480;0.138278405;Enercon E-70;19
11481;0.424193131;GE 1.85-82.5;6
11482;0.231555561;Enercon E-70;16
11483;0.074283555;Enercon E-53;20
11484;0;Enercon E-101;48
11485;0;Nordex N100/2500;44
11486;0;Enercon E-53;39
11487;0;GE 2.5-103;49
11488;0;Enercon E-71;31
11489;0.078291714;Enercon E-71;23
11490;0.031350867;GE 2.5-103;25
11491;0;Enercon E-71;29
11492;0;Enercon E-101;41
11493;0.099706351;GE 2.5-103;17
11494;0;GE 2.5-103;39
11495;0.051082165;Enercon E-101;23
11496;0;Enercon E-48;2
11497;0;GE 2.5-103;50
11498;0.282893357;Enercon E-101;13
11499;0.126877346;Nordex N100/2500;16
11500;0.279967467;Enercon E-44;15
11501;0;GE 2.5-103;46
11502;0;Enercon E-70;33
11503;0.344198784;GE 1.6-82.5;11
11504;0.477217273;Enercon E-44;6
11505;0.086640683;Enercon E-53;19
11506;0.10657008;Enercon E-101;18
11507;0.105778467;Nordex N100/2500;17
11508;0.18778367;Enercon E-82;15
11509;0;Enercon E-70;45
11510;0;Enercon E-48;26
11511;0.176079539;Enercon E-53;15
11512;0;Enercon E-71;37
11513;0;GE 1.6-82.5;29
11514;0.118556447;Enercon E-70;20
11515;0;Enercon E-44;34
11516;0;Enercon E-44;39
11517;0.055810335;Enercon E-53;22
11518;0;Enercon E-71;26
11519;0.236545112;Nordex N100/2500;13
11520;0.083791236;GE 1.6-82.5;18
11521;0.046439159;GE 1.85-82.5;23
11522;0.492613599;Enercon E-71;11
11523;0.360823971;Enercon E-71;4
11524;0;Enercon E-48;36
11525;0;Enercon E-82;37
11526;0;Enercon E-82;43
11527;0;GE 2.5-103;47
11528;0;Enercon E-48;30
11529;0;Enercon E-71;35
11530;0;Enercon E-48;40
11531;0;Enercon E-48;39
11532;0;Enercon E-48;44
11533;0;Enercon E-71;33
11534;0;Enercon E-48;47
11535;0.494891987;GE 1.6-82.5;6
11536;0.339606532;Enercon E-53;12
11537;0.500783558;Enercon E-44;9
11538;0.184153098;Enercon E-101;15
11539;0;Enercon E-82;50
11540;0.488466547;Enercon E-82;10
11541;0;Enercon E-82;41
11542;0;Enercon E-48;37
11543;0.106548114;Enercon E-48;19
11544;0.216570132;Enercon E-53;14
11545;0.03803318;Enercon E-53;25
11546;0;GE 1.85-82.5;48
11547;0.048842643;Enercon E-53;23
11548;0;Enercon E-71;43
11549;0;Nordex N100/2500;32
11550;0.400695553;GE 1.85-82.5;7
11551;0.480220804;Enercon E-70;11
11552;0;Enercon E-44;41
11553;0.473478143;Enercon E-48;7
11554;0;GE 1.6-82.5;48
11555;0;Enercon E-70;27
11556;0;GE 1.6-82.5;44
11557;0.438937417;Enercon E-101;11
11558;0.500742593;Enercon E-48;10
11559;0.000191831;Enercon E-101;34
11560;0.36249424;Nordex N100/2500;11
11561;0;Enercon E-48;29
11562;0;Nordex N100/2500;21
11563;0;Enercon E-101;1
11564;0;Enercon E-53;45
11565;0.428446619;GE 2.5-103;7
11566;0;Nordex N100/2500;3
11567;0.068609055;Enercon E-70;24
11568;0;Enercon E-48;46
11569;0.101897881;Enercon E-53;18
11570;0;Enercon E-44;0
11571;0.433074675;Enercon E-48;5
11572;0;Enercon E-71;50
11573;0.458189169;Enercon E-71;6
11574;0.470263008;GE 2.5-103;5
11575;0;Enercon E-71;0
11576;0;Enercon E-48;35
11577;0.285829286;Nordex N100/2500;4
11578;0.000669103;Enercon E-101;33
11579;0.032198846;Enercon E-82;27
11580;0.460851797;GE 1.6-82.5;9
11581;0;Enercon E-70;37
11582;0;Enercon E-71;32
11583;0.061011257;GE 1.85-82.5;21
11584;0.045845623;Enercon E-82;24
11585;0;GE 1.85-82.5;37
11586;0.216537338;Enercon E-48;15
11588;0;Nordex N100/2500;48
11591;0.375711942;Enercon E-101;4
11593;0.076415988;Enercon E-101;2
11596;0;Enercon E-44;33
11598;0;Enercon E-44;31
11599;0;Nordex N100/2500;22
11601;0.138879615;Enercon E-71;19
11605;0;Nordex N100/2500;43
11607;0.154728976;Enercon E-82;16
11609;0;Enercon E-82;49
11610;0;GE 1.85-82.5;44
11613;0.25718036;GE 1.85-82.5;13
11615;0.331233336;GE 2.5-103;11
11620;0;GE 1.85-82.5;43
11621;0;Enercon E-70;44
11622;0.102413517;Enercon E-70;21
11625;0;Enercon E-53;49
11627;0.763648615;Enercon E-70;3
11629;0;Enercon E-44;49
11631;0;GE 2.5-103;45
11633;0;GE 1.6-82.5;30
11636;0.010330976;Enercon E-82;29
11637;0.515462815;Enercon E-70;10
11639;0.484600975;Enercon E-48;8
11641;0;Enercon E-82;45
11643;0;Enercon E-70;48
11645;0;Enercon E-82;44
11648;0;GE 1.6-82.5;27
11650;0.357787204;Enercon E-101;12
11652;0.040561273;Enercon E-82;25
11655;0;GE 2.5-103;29
11656;0;GE 1.6-82.5;42
11659;0.035349428;GE 1.6-82.5;24
11661;0;Enercon E-70;42
11663;0;Enercon E-71;44
11666;0;Enercon E-48;50
11667;0;GE 1.6-82.5;1
11669;0.418577509;Enercon E-53;11
11671;0;GE 1.6-82.5;49
11673;0;GE 2.5-103;30
11675;0.4991208;Enercon E-44;8
11677;0.492113623;Enercon E-82;8
11678;0;GE 1.85-82.5;34
11679;0;Enercon E-101;40
11680;0;GE 1.85-82.5;36
11681;0.159072424;Enercon E-44;3
11686;0.397044771;GE 1.6-82.5;10
11688;0.332608613;Enercon E-44;14
11689;0.03536167;Enercon E-101;26
11690;0;GE 2.5-103;1
11693;0;Enercon E-44;28
11694;0.068633876;Enercon E-48;22
11696;0.644328519;Enercon E-70;4
11699;0;GE 2.5-103;28
11700;0;Enercon E-70;2
11702;0;Enercon E-71;36
11704;0.010026289;Enercon E-101;29
11706;0.523516921;Enercon E-70;8
11711;0;GE 1.85-82.5;49
11713;0;Enercon E-70;38
11714;0.144791256;GE 1.6-82.5;15
11717;0;GE 2.5-103;34
11718;0.060700901;Enercon E-70;25
11725;0.125310959;Enercon E-48;18
11728;0;Enercon E-101;49
11731;0;Nordex N100/2500;2
11732;0.453416365;Enercon E-71;12
11733;0;GE 1.85-82.5;0
11736;0;Nordex N100/2500;27
11737;0;Enercon E-53;33
11738;0;Enercon E-71;42
11739;0;GE 1.6-82.5;38
11741;0;Enercon E-48;42
11744;0.534260737;GE 1.6-82.5;7
11749;0;GE 1.6-82.5;26
11751;0;GE 1.85-82.5;30
11754;0.042988169;Enercon E-53;24
11755;0.167541558;Enercon E-44;18
11757;0;Enercon E-48;34
11759;0;Enercon E-48;33
11760;0.003331177;Enercon E-82;31
11763;0;Enercon E-53;46
11766;0;Enercon E-101;39
11767;0;Enercon E-70;30
11769;0.515858023;Enercon E-53;6
11770;0.232562325;Enercon E-71;16
11771;0.045893171;GE 1.6-82.5;22
11775;0;GE 1.85-82.5;3
11777;0;Enercon E-53;0
11779;0;Enercon E-71;30
11780;0.14875097;Enercon E-48;17
11783;0.477993013;Enercon E-101;9
11784;0.189391257;Nordex N100/2500;14
11786;0;Enercon E-71;48
11788;0;Enercon E-70;28
11790;0.078913024;Enercon E-48;21
11792;0.28102269;Enercon E-71;15
11794;0;Nordex N100/2500;24
11796;0.108671106;Enercon E-82;18
11797;0;Enercon E-53;42
11798;0.394163646;Enercon E-70;13
11800;0;Enercon E-70;36
11802;0;GE 1.85-82.5;47
11805;0;Enercon E-44;30
11808;0;Enercon E-71;47
11809;0.119304318;GE 1.6-82.5;16
11812;0.162628872;Enercon E-70;18
11813;0.000196644;Enercon E-82;34
11816;0;GE 1.85-82.5;50
11817;0.391596748;Enercon E-48;12
11820;0.070681595;Enercon E-44;24
11821;0;Nordex N100/2500;40
11824;0.38609636;Enercon E-44;13
11825;0.03157632;Enercon E-101;27
11828;0;Enercon E-44;29
11829;0.352437073;Enercon E-48;4
11832;0;GE 2.5-103;37
11833;0.115006157;GE 1.85-82.5;17
11587;0.071245151;GE 1.6-82.5;19
11589;0.338131584;Enercon E-70;14
11590;0;Enercon E-53;32
11592;0.226500257;Enercon E-101;14
11594;0.006091519;Enercon E-82;30
11595;0.480898253;Enercon E-71;7
11597;0.457383887;Nordex N100/2500;9
11600;0.464272221;Enercon E-53;4
11602;0;Enercon E-53;50
11603;0.48284311;Enercon E-53;10
11604;0.500417188;Enercon E-82;9
11606;0.052894644;GE 2.5-103;21
11608;0;Enercon E-101;35
11611;0;Nordex N100/2500;23
11612;0.420415054;Enercon E-82;11
11614;0;GE 1.6-82.5;39
11616;0.103092563;Enercon E-71;2
11617;0.283482234;GE 2.5-103;12
11618;0.11907191;Enercon E-71;20
11619;0.459241219;GE 2.5-103;4
11623;0;Enercon E-70;1
11624;0;Enercon E-71;40
11626;0.060964818;Enercon E-71;25
11628;0;Nordex N100/2500;1
11630;0.480898253;Enercon E-70;7
11632;0;Nordex N100/2500;29
11634;0;Enercon E-71;49
11635;0.178086912;GE 1.6-82.5;14
11638;0;Enercon E-82;42
11640;0;Nordex N100/2500;0
11642;0.3941326;Nordex N100/2500;5
11644;0;GE 1.6-82.5;40
11646;0.052865561;Enercon E-48;24
11647;0;Enercon E-101;47
11649;0.222966454;GE 2.5-103;13
11651;0;Enercon E-48;32
11653;0;Enercon E-53;2
11654;0;Enercon E-71;38
11657;0;Enercon E-44;48
11658;0.120958364;Enercon E-53;17
11660;0;Enercon E-44;47
11662;0;Enercon E-53;35
11664;0.354241299;Enercon E-82;12
11665;0;Nordex N100/2500;45
11668;0.454847713;Enercon E-48;11
11670;0.447266393;Nordex N100/2500;7
11672;0;GE 2.5-103;0
11674;0.488347705;Enercon E-44;7
11676;0.075767548;Nordex N100/2500;19
11682;0;GE 1.6-82.5;35
11683;0;Nordex N100/2500;36
11684;0;Enercon E-70;49
11685;0;GE 2.5-103;3
11687;0.238608636;GE 1.6-82.5;4
11691;0.039777069;Enercon E-101;25
11692;0.455946431;Nordex N100/2500;8
11695;0;Enercon E-44;26
11697;0.453416365;Enercon E-70;12
11698;0;GE 2.5-103;36
11701;0.070628156;GE 1.85-82.5;20
11703;0;Enercon E-53;27
11705;0.495055641;Enercon E-48;9
11707;0.040872776;GE 1.85-82.5;24
11708;0;Enercon E-101;46
11709;0.48402954;Enercon E-44;11
11710;0;GE 1.6-82.5;36
11712;0;Enercon E-48;31
11715;0.145142904;GE 2.5-103;15
11716;0.163335954;Enercon E-71;18
11719;0;Enercon E-70;40
11720;0;Enercon E-53;48
11721;0;Enercon E-70;50
11722;0;Nordex N100/2500;50
11723;0.061083811;GE 1.6-82.5;20
11724;0.274913501;Enercon E-71;3
11726;0.403174733;GE 2.5-103;9
11727;0;Enercon E-53;38
11729;0.04600463;GE 2.5-103;22
11730;0;Enercon E-70;47
11734;0;Enercon E-70;0
