"tid";"rotor_area";"capex";"eta_conv";"hub_height";"id";"opex";"s_rated";"type"
11455;5345.62;0;100;80;GE 1.6-82.5;0;1600;GE 1.6-82.5
11456;5281.02;0;100;98;Enercon E-82;0;2000;Enercon E-82
11457;1809.56;0;100;60;Enercon E-48;0;800;Enercon E-48
11458;3959.19;0;100;114;Enercon E-70;0;2300;Enercon E-70
11459;7853.98;0;100;140;Nordex N100/2500;0;2500;Nordex N100/2500
11460;8011.85;0;100;135;Enercon E-101;0;3050;Enercon E-101
11461;-1;-1;-1;-1;no_type;-1;-1;no_type
11462;3959.19;0;100;85;Enercon E-71;0;2300;Enercon E-71
11463;5345.62;0;100;65;GE 1.85-82.5;0;1850;GE 1.85-82.5
11464;8332.29;0;100;100;GE 2.5-103;0;2500;GE 2.5-103
11465;1520.53;0;100;45;Enercon E-44;0;900;Enercon E-44
11466;2197.87;0;100;73;Enercon E-53;0;800;Enercon E-53
