"tid";"price";"timestep"
2696;49.94;2011-08-11 17:00:00
2697;49.5;2011-03-07 15:00:00
2698;54.88;2011-06-17 16:00:00
2699;61.97;2011-09-15 17:00:00
2700;65.91;2011-11-11 19:00:00
2701;39.94;2011-07-20 03:00:00
2702;48.8;2011-05-13 05:00:00
2703;47;2011-08-14 12:00:00
2704;65.74;2011-03-28 11:00:00
2705;68.09;2011-02-25 08:00:00
2706;42.43;2011-06-21 02:00:00
2707;66.03;2011-03-19 18:00:00
2708;45.41;2011-09-04 00:00:00
2709;68.02;2011-03-18 18:00:00
2710;43.05;2011-10-02 11:00:00
2711;50.94;2011-08-02 22:00:00
2712;21.01;2011-04-25 11:00:00
2713;51.25;2011-12-15 20:00:00
2714;19.13;2011-07-18 04:00:00
2715;71.31;2011-06-07 16:00:00
2716;56.33;2011-01-06 12:00:00
2717;39.59;2011-10-27 04:00:00
2718;42.59;2011-08-18 01:00:00
2719;49.37;2011-01-09 21:00:00
2720;-9.3;2011-02-05 06:00:00
2721;61.69;2011-10-31 13:00:00
2722;67.51;2011-01-31 09:00:00
2723;33.94;2011-12-12 02:00:00
2724;24.91;2011-09-14 02:00:00
2725;24;2011-07-31 04:00:00
2726;59.81;2011-08-28 21:00:00
2727;70.21;2011-01-04 17:00:00
2728;63.04;2011-06-29 14:00:00
2729;9.91;2011-07-03 04:00:00
2730;60.27;2011-09-04 20:00:00
2731;14.99;2011-01-16 02:00:00
2732;58.66;2011-07-26 11:00:00
2733;56.44;2011-06-22 07:00:00
2734;48.83;2011-06-11 07:00:00
2735;60.4;2011-04-05 12:00:00
2736;58.1;2011-08-20 19:00:00
2737;48.99;2011-06-23 07:00:00
2738;43.31;2011-09-23 01:00:00
2739;52.81;2011-09-06 21:00:00
2740;65.09;2011-06-09 12:00:00
2741;62.2;2011-10-25 17:00:00
2742;53.66;2011-08-02 17:00:00
2743;44.42;2011-08-13 01:00:00
2744;42.96;2011-03-22 03:00:00
2745;47.88;2011-07-10 17:00:00
2746;56.96;2011-01-21 22:00:00
2747;68.22;2011-09-29 18:00:00
2748;58.23;2011-11-01 20:00:00
2749;45.81;2011-05-29 12:00:00
2750;59.63;2011-04-06 19:00:00
2751;40.8;2011-07-11 03:00:00
2752;45.28;2011-06-15 03:00:00
2753;58.57;2011-02-25 14:00:00
2754;65.16;2011-01-25 17:00:00
2755;60.19;2011-05-30 16:00:00
2756;43.8;2011-07-20 06:00:00
2757;67.04;2011-03-07 08:00:00
2758;37.86;2011-08-21 01:00:00
2759;34.17;2011-09-20 03:00:00
2760;35.37;2011-07-23 11:00:00
2761;39.5;2011-11-26 05:00:00
2762;18.87;2011-02-08 01:00:00
2763;43.35;2011-02-09 01:00:00
2764;46.11;2011-10-30 09:00:00
2765;37.42;2011-07-23 09:00:00
2766;42.78;2011-12-30 15:00:00
2767;21.89;2011-10-18 03:00:00
2768;46;2011-11-12 21:00:00
2769;63.22;2011-12-30 18:00:00
2770;58.55;2011-09-15 14:00:00
2771;60.96;2011-08-22 16:00:00
2772;31.04;2011-08-15 04:00:00
2773;52.05;2011-11-27 19:00:00
2774;50.12;2011-09-17 14:00:00
2775;34.46;2011-12-01 03:00:00
2776;57.99;2011-08-17 08:00:00
2777;53.19;2011-08-12 21:00:00
2778;59.03;2011-07-10 22:00:00
2779;66.95;2011-03-15 19:00:00
2780;52.55;2011-08-19 07:00:00
2781;58.94;2011-11-08 11:00:00
2782;47.64;2011-11-06 21:00:00
2783;66.98;2011-04-15 10:00:00
2784;56;2011-08-01 11:00:00
2785;69.97;2011-02-16 18:00:00
2786;58.77;2011-02-28 06:00:00
2787;67.49;2011-03-22 07:00:00
2788;66.77;2011-11-16 20:00:00
2789;53.2;2011-03-02 22:00:00
2790;68.07;2011-05-11 18:00:00
2791;61.04;2011-08-29 20:00:00
2792;22.69;2011-09-25 05:00:00
2793;51.42;2011-10-06 07:00:00
2794;53.12;2011-06-06 23:00:00
2795;64.65;2011-07-07 12:00:00
2796;51;2011-05-22 10:00:00
2797;57.72;2011-05-07 11:00:00
2798;57.64;2011-03-29 06:00:00
2799;50.73;2011-01-06 11:00:00
2800;35.59;2011-12-12 05:00:00
2801;47.06;2011-09-03 01:00:00
2802;35.21;2011-12-20 02:00:00
2803;38.72;2011-07-26 02:00:00
2804;63.05;2011-01-24 15:00:00
2805;28;2011-02-03 02:00:00
2806;69.7;2011-05-17 15:00:00
2807;48.69;2011-11-09 06:00:00
2808;58.98;2011-03-27 22:00:00
2809;44.91;2011-06-03 04:00:00
2810;64.15;2011-04-27 10:00:00
2811;57.5;2011-10-17 17:00:00
2812;43.99;2011-05-07 05:00:00
2813;10.2;2011-01-16 04:00:00
2814;51.28;2011-06-22 21:00:00
2815;47.87;2011-02-28 05:00:00
2816;51.41;2011-01-14 20:00:00
2817;52.29;2011-10-05 21:00:00
2818;69.88;2011-02-01 18:00:00
2819;42.05;2011-03-19 07:00:00
2820;35.96;2011-10-02 15:00:00
2821;56.76;2011-03-21 17:00:00
2822;77.03;2011-11-23 08:00:00
2823;59.97;2011-01-25 12:00:00
2824;63.68;2011-06-16 15:00:00
2825;30.53;2011-01-25 04:00:00
2826;53.03;2011-09-08 17:00:00
2827;69.48;2011-01-06 18:00:00
2828;50.2;2011-06-08 00:00:00
